dataset,layer_name,layer_idx,method,error,k,ft_method
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8411293165315612,8,standard
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7433109425346243,32,standard
Cars,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.643812568691531,64,standard
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.727156705683344,8,standard
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.7415126942582462,32,standard
Cars,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.7121629547347657,64,standard
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8403997139184416,8,standard
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.686535506003444,32,standard
Cars,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.5824404351413169,64,standard
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6063186608904321,8,standard
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6414925796307058,32,standard
Cars,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.6413677404236203,64,standard
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.852368126775271,8,standard
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6978245985102086,32,standard
Cars,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.6085969481318438,64,standard
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6636769316361675,8,standard
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6497289967733985,32,standard
Cars,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.6230613156281706,64,standard
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8074386440568527,8,standard
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.7011980178297539,32,standard
Cars,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.6237071100141953,64,standard
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.7338085070888486,8,standard
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6867975962625258,32,standard
Cars,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.6663521170615824,64,standard
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7803680581344308,8,standard
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6905755811969806,32,standard
Cars,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.6206359913448899,64,standard
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.7465330857607315,8,standard
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.7112553827122956,32,standard
Cars,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.6917253591362904,64,standard
